channel_1_relative_l2,channel_2_relative_l2,channel_dim,device,feature_family,forecast_window_relative_l2,max_abs_error,mode,model,model_label,mse,noise_level,parameter_count,relative_l2,runtime_sec,seed,test_points,train_points,train_setting
1.0469581474307308,1.0640564956634853,2,,baseline,1.0557890725511028,1.3787523865109212,forecast,linear_baseline,Linear baseline,0.5039045327176889,0.0,0,1.0557890725511028,0.0004759239964187145,0,200,200,0.5
1.392498928617498,1.241955467630872,2,,baseline,1.3172016744211457,1.749597093063528,forecast,ar1_baseline,AR(1) baseline,0.7843293877003447,0.0,0,1.3172016744211457,0.0004888998810201883,0,200,200,0.5
1.0519853949766278,1.0493435087333636,2,cuda,time_only,1.0506270916179474,1.343453519602918,forecast,mlp_t,MLP baseline [t],0.4989891819605549,0.0,1186,1.0506270916179474,0.3967055690009147,0,200,200,0.5
1.3493219088095958,1.0419261378775049,2,cuda,memory_only,1.201047104499945,1.7522178029603972,forecast,mlp_memory,MLP + memory-only,0.6520997303220338,0.0,1282,1.201047104499945,0.3954803051892668,0,200,200,0.5
0.5369545452852845,0.9688408828134641,2,cuda,domain_only,0.7892321209103544,1.3678640666879316,forecast,mlp_domain,MLP + domain sin/cos,0.28158106293576607,0.0,1250,0.7892321209103544,0.38746555778197944,0,200,200,0.5
0.37924248246622344,0.934503853632952,2,cuda,memory_plus_domain,0.7204901748284188,1.4911322395842443,forecast,mlp_memory_domain,MLP + memory + domain,0.23466594297749208,0.0,1346,0.7204901748284188,0.38855080609209836,0,200,200,0.5
1.0534051476146222,0.9887368519255948,2,,baseline,1.0167750033489706,1.177664760574408,forecast,linear_baseline,Linear baseline,0.5046071288514221,0.0,0,1.0167750033489706,0.0006092209368944168,0,80,320,0.8
1.1574158979635651,1.5000427106540866,2,,baseline,1.3647115721371545,1.8079734367562668,forecast,ar1_baseline,AR(1) baseline,0.9090450543004923,0.0,0,1.3647115721371545,0.0003830019850283861,0,80,320,0.8
1.0499031873583677,0.968355618320855,2,cuda,time_only,1.0038880204805445,1.150445108257715,forecast,mlp_t,MLP baseline [t],0.49189703359121717,0.0,1186,1.0038880204805445,0.4058494649361819,0,80,320,0.8
1.0770589069372831,0.9728493830693032,2,cuda,memory_only,1.0185251812676217,1.1535804727603833,forecast,mlp_memory,MLP + memory-only,0.5063457875279923,0.0,1282,1.0185251812676217,0.38335171598009765,0,80,320,0.8
0.07143456561951514,0.577128658178468,2,cuda,domain_only,0.4398051933991395,0.7586025774262418,forecast,mlp_domain,MLP + domain sin/cos,0.09441138457364179,0.0,1250,0.4398051933991395,0.3957226120401174,0,80,320,0.8
0.058475698287342066,0.5348592682720062,2,cuda,memory_plus_domain,0.40708998136445174,0.7350705253468228,forecast,mlp_memory_domain,MLP + memory + domain,0.08088807288597724,0.0,1346,0.40708998136445174,0.3840765010099858,0,80,320,0.8
1.0890566904178995,1.0423485241913342,2,,baseline,nan,1.8935380161775464,interpolation,linear_baseline,Linear baseline,0.5300254977026718,0.05,0,1.0699490328694827,4.393700510263443e-05,0,400,10,10.0
0.9957635148070245,1.0023540418650305,2,,baseline,nan,1.3875058176694821,interpolation,ar1_baseline,AR(1) baseline,0.46160079105611834,0.05,0,0.9984997982648756,0.00039128586649894714,0,400,10,10.0
1.0735258162846932,1.0187910997424425,2,cuda,time_only,nan,1.548905536909556,interpolation,mlp_t,MLP baseline [t],0.5116034327822897,0.05,1186,1.0511905165541962,0.4012924360577017,0,400,10,10.0
1.1227609900266797,1.0192118995064587,2,cuda,memory_only,nan,1.6801253411965127,interpolation,mlp_memory,MLP + memory-only,0.5410869184485836,0.05,1282,1.0810560869489971,0.4300548699684441,0,400,10,10.0
0.19398143462789427,0.7494802928640276,2,cuda,domain_only,nan,1.4292722889493525,interpolation,mlp_domain,MLP + domain sin/cos,0.11797133713316793,0.05,1250,0.5047809541469417,0.39043354406021535,0,400,10,10.0
0.17056039597397177,0.8276888102996044,2,cuda,memory_plus_domain,nan,1.5267191733757945,interpolation,mlp_memory_domain,MLP + memory + domain,0.13932134333502488,0.05,1346,0.5485592414239826,0.4592550159431994,0,400,10,10.0
